
,Trade Date,,20191206

JPX Code,164120005
Instrument,FUT_TOPIX_1912
11272,岡三証券,OKASAN SECURITIES,6,11727,ＧＭＯクリック証券,GMO CLICK Securities,13
11056,安藤証券,ANDO SECURITIES,6,11056,安藤証券,ANDO SECURITIES,8
11016,藍澤證券,AIZAWA SECURITIES,6,11784,ライブスター証券,livestar Securities,7
12888,山和証券,YAMAWA SECURITIES,5,11840,立花証券,TACHIBANA SECURITIES,2
12368,証券ジャパン,Securities Japan,4,11544,岩井コスモ証券,IwaiCosmo Securities,1
11544,岩井コスモ証券,IwaiCosmo Securities,3,12368,証券ジャパン,Securities Japan,1
12176,ドイツ証券,Deutsche Securities,3,-,-,-,-
12330,マネックス証券,Monex,3,-,-,-,-

JPX Code,134122618
Instrument,PUT_NK225_191213_22625
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,850,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,702
11714,ＪＰモルガン証券,JPMorgan Japan,370,11746,ＵＢＳ証券,UBS Securities Japan,465
11788,ソシエテ・ジェネラル,Societe Generale,292,11788,ソシエテ・ジェネラル,Societe Generale,268
12428,ＢＮＰパリバ証券,BNP Paribas (Japan),248,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),226
11256,ＳＢＩ証券,SBI SECURITIES,38,11714,ＪＰモルガン証券,JPMorgan Japan,100
12795,インタラクティブ証券,Interactive Brokers,15,11256,ＳＢＩ証券,SBI SECURITIES,38
12057,楽天証券,Rakuten Securities,14,12795,インタラクティブ証券,Interactive Brokers,15
11056,安藤証券,ANDO SECURITIES,12,12560,松井証券,MATSUI SECURITIES,15
11060,ａｕカブコム証券,au Kabucom Securitie,10,12176,ドイツ証券,Deutsche Securities,12
12560,松井証券,MATSUI SECURITIES,8,12057,楽天証券,Rakuten Securities,12
11784,ライブスター証券,livestar Securities,5,12000,大和証券,Daiwa Securities,10
11016,藍澤證券,AIZAWA SECURITIES,5,11060,ａｕカブコム証券,au Kabucom Securitie,4
12330,マネックス証券,Monex,3,11544,岩井コスモ証券,IwaiCosmo Securities,4
12176,ドイツ証券,Deutsche Securities,3,12330,マネックス証券,Monex,2
11272,岡三証券,OKASAN SECURITIES,2,11056,安藤証券,ANDO SECURITIES,2
12336,日産証券,Nissan Securities,1,12368,証券ジャパン,Securities Japan,1

JPX Code,184122718
Instrument,PUT_NK225_191213_22750
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,500,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,662
